YEAR,Labor Force,Employment,Emp/Pop,Unemployed,Unemp Rate,LFPART
Sep-83,"3,087.80","2,790.50",49.1,297.3,9.6,54.4
Oct-83,"3,087.30","2,795.90",49.2,291.5,9.4,54.3
Nov-83,"3,083.80","2,798.70",49.2,285.1,9.2,54.2
Dec-83,"3,080.00","2,800.90",49.2,279.1,9.1,54.1
Jan-84,"3,077.80","2,804.10",49.2,273.7,8.9,54
Feb-84,"3,078.00","2,808.20",49.3,269.8,8.8,54
Mar-84,"3,081.60","2,813.10",49.3,268.5,8.7,54
Apr-84,"3,086.70","2,816.90",49.3,269.8,8.7,54
May-84,"3,092.80","2,819.20",49.3,273.5,8.8,54.1
Jun-84,"3,098.30","2,819.90",49.3,278.5,9,54.2
Jul-84,"3,101.40","2,819.00",49.2,282.4,9.1,54.2
Aug-84,"3,102.20","2,818.10",49.2,284.1,9.2,54.2
Sep-84,"3,102.30","2,819.20",49.2,283.1,9.1,54.2
Oct-84,"3,103.10","2,823.10",49.3,280,9,54.2
Nov-84,"3,106.80","2,830.50",49.4,276.3,8.9,54.2
Dec-84,"3,113.80","2,840.20",49.5,273.6,8.8,54.3
Jan-85,"3,122.00","2,849.10",49.7,272.9,8.7,54.4
Feb-85,"3,128.30","2,855.40",49.8,272.9,8.7,54.5
Mar-85,"3,129.80","2,858.20",49.8,271.6,8.7,54.5
Apr-85,"3,192.20","2,923.90",50.9,268.4,8.4,55.6
May-85,"3,219.30","2,955.70",51.4,263.6,8.2,56
Jun-85,"3,230.50","2,972.00",51.7,258.5,8,56.2
Jul-85,"3,236.70","2,982.00",51.9,254.6,7.9,56.3
Aug-85,"3,241.80","2,990.00",52,251.9,7.8,56.3
Sep-85,"3,246.80","2,996.80",52,250,7.7,56.4
Oct-85,"3,251.20","3,001.90",52.1,249.3,7.7,56.4
Nov-85,"3,253.60","3,004.00",52.1,249.5,7.7,56.4
Dec-85,"3,253.30","3,002.60",52,250.7,7.7,56.4
Jan-86,"3,251.70","2,999.00",51.9,252.8,7.8,56.3
Feb-86,"3,250.30","2,995.10",51.8,255.2,7.9,56.2
Mar-86,"3,249.30","2,992.40",51.7,256.9,7.9,56.1
Apr-86,"3,248.10","2,991.50",51.7,256.6,7.9,56.1
May-86,"3,246.00","2,992.80",51.6,253.2,7.8,56
Jun-86,"3,242.60","2,995.70",51.6,246.8,7.6,55.9
Jul-86,"3,238.30","2,999.90",51.7,238.4,7.4,55.8
Aug-86,"3,234.10","3,004.40",51.7,229.7,7.1,55.7
Sep-86,"3,230.90","3,008.60",51.8,222.2,6.9,55.6
Oct-86,"3,229.10","3,012.70",51.8,216.3,6.7,55.5
Nov-86,"3,228.70","3,016.90",51.9,211.7,6.6,55.5
Dec-86,"3,229.60","3,022.40",51.9,207.2,6.4,55.5
Jan-87,"3,231.00","3,029.00",52,202,6.3,55.5
Feb-87,"3,231.90","3,035.40",52.1,196.4,6.1,55.5
Mar-87,"3,233.00","3,042.00",52.2,191,5.9,55.5
Apr-87,"3,234.90","3,049.00",52.3,185.9,5.7,55.5
May-87,"3,236.90","3,055.90",52.4,181,5.6,55.5
Jun-87,"3,239.20","3,062.00",52.5,177.3,5.5,55.5
Jul-87,"3,242.00","3,066.70",52.6,175.3,5.4,55.6
Aug-87,"3,244.40","3,069.70",52.6,174.7,5.4,55.6
Sep-87,"3,245.80","3,071.70",52.6,174,5.4,55.6
Oct-87,"3,245.10","3,072.80",52.7,172.4,5.3,55.6
Nov-87,"3,242.20","3,073.00",52.7,169.2,5.2,55.6
Dec-87,"3,237.10","3,072.30",52.7,164.7,5.1,55.5
Jan-88,"3,230.60","3,071.20",52.6,159.4,4.9,55.4
Feb-88,"3,224.60","3,070.70",52.6,153.9,4.8,55.3
Mar-88,"3,220.10","3,070.00",52.6,150.1,4.7,55.2
Apr-88,"3,218.30","3,068.70",52.6,149.5,4.6,55.2
May-88,"3,220.20","3,067.70",52.6,152.6,4.7,55.2
Jun-88,"3,225.20","3,067.50",52.6,157.7,4.9,55.3
Jul-88,"3,231.90","3,068.60",52.6,163.3,5.1,55.4
Aug-88,"3,240.10","3,071.20",52.6,169,5.2,55.5
