YEAR,Labor Force,Employment,Emp/Pop,Unemployed,Unemp Rate,LFPART
9-Aug,"3,978.10","3,587.50",54.2,390.6,9.8,60.1
9-Sep,"3,977.10","3,580.80",54.1,396.2,10,60.1
9-Oct,"3,974.90","3,575.20",54,399.7,10.1,60
9-Nov,"3,974.00","3,572.50",53.9,401.5,10.1,60
9-Dec,"3,976.90","3,574.60",54,402.3,10.1,60
10-Jan,"3,983.40","3,581.60",54,401.8,10.1,60.1
10-Feb,"3,990.40","3,590.60",54.2,399.8,10,60.2
10-Mar,"3,994.80","3,598.30",54.3,396.4,9.9,60.2
10-Apr,"3,996.20","3,604.00",55.1,392.2,9.8,61.1
10-May,"3,994.40","3,607.20",55.1,387.2,9.7,61
10-Jun,"3,989.10","3,607.20",55,382,9.6,60.9
10-Jul,"3,981.60","3,604.20",55,377.5,9.5,60.7
10-Aug,"3,974.60","3,600.60",54.9,374,9.4,60.6
10-Sep,"3,969.60","3,598.00",54.8,371.6,9.4,60.4
10-Oct,"3,967.00","3,597.70",54.7,369.3,9.3,60.3
10-Nov,"3,965.90","3,599.70",54.7,366.1,9.2,60.3
10-Dec,"3,965.30","3,603.20",54.7,362.1,9.1,60.2
11-Jan,"3,965.20","3,607.10",54.7,358.2,9,60.1
11-Feb,"3,964.80","3,609.80",54.7,355.1,9,60.1
11-Mar,"3,963.60","3,610.40",54.7,353.1,8.9,60
11-Apr,"3,961.80","3,609.00",54.6,352.8,8.9,59.9
11-May,"3,961.30","3,607.00",54.5,354.4,8.9,59.9
11-Jun,"3,963.60","3,606.00",54.4,357.6,9,59.8
11-Jul,"3,969.20","3,607.60",54.4,361.6,9.1,59.9
11-Aug,"3,976.60","3,610.80",54.4,365.8,9.2,59.9
11-Sep,"3,983.80","3,614.10",54.4,369.6,9.3,60
11-Oct,"3,990.00","3,616.60",54.4,373.4,9.4,60
11-Nov,"3,994.40","3,617.70",54.4,376.7,9.4,60.1
11-Dec,"3,996.60","3,617.50",54.3,379.2,9.5,60
12-Jan,"3,997.90","3,617.00",54.3,380.8,9.5,60
12-Feb,"4,000.40","3,618.10",54.3,382.3,9.6,60
12-Mar,"4,004.60","3,620.50",54.3,384.1,9.6,60
12-Apr,"4,009.20","3,623.60",54.3,385.6,9.6,60
12-May,"4,014.10","3,628.20",54.3,385.9,9.6,60.1
12-Jun,"4,018.60","3,634.30",54.3,384.4,9.6,60.1
12-Jul,"4,022.80","3,641.70",54.4,381.1,9.5,60.1
12-Aug,"4,027.70","3,650.30",54.5,377.4,9.4,60.1
12-Sep,"4,034.10","3,659.50",54.6,374.6,9.3,60.2
12-Oct,"4,040.10","3,667.30",54.7,372.7,9.2,60.2
12-Nov,"4,044.10","3,672.50",54.7,371.5,9.2,60.3
12-Dec,"4,045.90","3,675.50",54.7,370.5,9.2,60.3
13-Jan,"4,045.90","3,676.80",54.7,369.1,9.1,60.2
13-Feb,"4,045.60","3,678.40",54.7,367.2,9.1,60.2
13-Mar,"4,047.40","3,682.50",54.8,364.9,9,60.2
13-Apr,"4,052.80","3,690.10",54.8,362.8,9,60.2
13-May,"4,060.90","3,698.90",54.9,362,8.9,60.3
13-Jun,"4,070.30","3,707.60",55,362.7,8.9,60.4
13-Jul,"4,078.30","3,714.70",55.1,363.6,8.9,60.5
13-Aug,"4,081.80","3,719.80",55.2,362,8.9,60.5
13-Sep,"4,081.00","3,724.40",55.2,356.6,8.7,60.5
13-Oct,"4,079.00","3,730.10",55.3,348.9,8.6,60.4
13-Nov,"4,078.20","3,737.60",55.4,340.6,8.4,60.4
13-Dec,"4,078.60","3,746.00",55.5,332.6,8.2,60.4
14-Jan,"4,080.60","3,755.40",55.6,325.1,8,60.4
14-Feb,"4,083.60","3,765.30",55.7,318.3,7.8,60.4
14-Mar,"4,086.60","3,774.40",55.8,312.2,7.6,60.4
14-Apr,"4,088.30","3,782.00",55.9,306.3,7.5,60.4
14-May,"4,088.60","3,789.40",56,299.2,7.3,60.4
14-Jun,"4,088.50","3,797.50",56.1,291,7.1,60.4
14-Jul,"4,089.10","3,806.20",56.2,282.9,6.9,60.4
14-Aug,"4,091.30","3,815.20",56.3,276.2,6.8,60.4
14-Sep,"4,094.60","3,823.60",56.4,271.1,6.6,60.4
14-Oct,"4,097.50","3,830.80",56.5,266.7,6.5,60.4
14-Nov,"4,099.30","3,836.90",56.6,262.4,6.4,60.4
14-Dec,"4,101.10","3,842.40",56.6,258.8,6.3,60.4
15-Jan,"4,102.70","3,847.10",56.7,255.5,6.2,60.4
15-Feb,"4,103.20","3,851.00",56.7,252.2,6.1,60.4
15-Mar,"4,103.10","3,855.30",56.8,247.8,6,60.4
15-Apr,"4,101.70","3,859.50",56.8,242.1,5.9,60.4
15-May,"4,097.80","3,862.60",56.8,235.2,5.7,60.3
15-Jun,"4,091.10","3,863.80",56.8,227.3,5.6,60.2
15-Jul,"4,083.70","3,864.00",56.8,219.7,5.4,60
15-Aug,"4,077.60","3,863.70",56.8,214,5.2,59.9
15-Sep,"4,074.20","3,863.70",56.8,210.5,5.2,59.9
15-Oct,"4,074.60","3,865.00",56.8,209.6,5.1,59.9
15-Nov,"4,078.20","3,867.40",56.8,210.8,5.2,59.9
15-Dec,"4,082.00","3,869.80",56.9,212.3,5.2,60
16-Jan,"4,083.90","3,871.20",56.9,212.7,5.2,60
16-Feb,"4,082.90","3,871.00",56.9,211.9,5.2,60
16-Mar,"4,079.60","3,869.30",56.8,210.3,5.2,59.9
16-Apr,"4,076.70","3,867.60",56.8,209.1,5.1,59.9
16-May,"4,076.60","3,867.10",56.8,209.5,5.1,59.9
16-Jun,"4,079.70","3,868.30",56.8,211.4,5.2,59.9
16-Jul,"4,084.90","3,871.20",56.8,213.7,5.2,60
16-Aug,"4,091.00","3,876.00",56.9,215.1,5.3,60.1
16-Sep,"4,096.60","3,881.90",57,214.7,5.2,60.2
16-Oct,"4,100.50","3,888.70",57.1,211.8,5.2,60.2
16-Nov,"4,102.80","3,896.60",57.2,206.2,5,60.3
16-Dec,"4,105.30","3,905.70",57.4,199.6,4.9,60.3
17-Jan,"4,277.60","4,076.80",57.6,200.7,4.7,60.4
17-Feb,"4,285.30","4,089.00",57.7,196.3,4.6,60.5
17-Mar,"4,293.80","4,099.70",57.9,194.1,4.5,60.6
17-Apr,"4,301.80","4,107.70",58,194.1,4.5,60.7
17-May,"4,308.60","4,113.30",58,195.3,4.5,60.8
17-Jun,"4,313.40","4,116.90",58.1,196.5,4.6,60.8
17-Jul,"4,314.90","4,117.90",58.1,197,4.6,60.8
17-Aug,"4,312.40","4,116.00",58,196.4,4.6,60.8
17-Sep,"4,306.60","4,112.30",58,194.4,4.5,60.7
17-Oct,"4,299.30","4,107.80",57.9,191.5,4.5,60.6
17-Nov,"4,291.70","4,103.20",57.8,188.5,4.4,60.5
17-Dec,"4,285.80","4,100.30",57.8,185.4,4.3,60.4
18-Jan,"4,272.60","4,088.80",57.6,183.8,4.3,60.2
18-Feb,"4,271.30","4,089.90",57.6,181.4,4.2,60.2
18-Mar,"4,271.90","4,092.90",57.6,179.1,4.2,60.2
18-Apr,"4,271.90","4,095.60",57.7,176.3,4.1,60.1
18-May,"4,268.70","4,095.40",57.6,173.3,4.1,60.1
18-Jun,"4,262.90","4,092.30",57.6,170.6,4,60
18-Jul,"4,256.50","4,087.60",57.5,169,4,59.9
18-Aug,"4,252.50","4,083.10",57.4,169.4,4,59.8
18-Sep,"4,251.40","4,079.10",57.4,172.4,4.1,59.8
18-Oct,"4,253.40","4,076.40",57.3,176.9,4.2,59.8
18-Nov,"4,257.60","4,076.50",57.3,181.1,4.3,59.9
18-Dec,"4,262.80","4,079.20",57.4,183.6,4.3,60
19-Jan,"4,267.40","4,083.60",57.4,183.8,4.3,60
19-Feb,"4,269.80","4,088.80",57.5,181,4.2,60
19-Mar,"4,269.40","4,093.30",57.6,176.1,4.1,60
19-Apr,"4,266.90","4,096.80",57.6,170.2,4,60
19-May,"4,264.00","4,099.20",57.6,164.8,3.9,60
19-Jun,"4,261.80","4,100.20",57.6,161.6,3.8,59.9
19-Jul,"4,260.50","4,099.80",57.6,160.7,3.8,59.9
19-Aug,"4,260.20","4,099.10",57.6,161.1,3.8,59.9
19-Sep,"4,262.60","4,101.30",57.7,161.3,3.8,60
19-Oct,"4,268.10","4,106.00",57.8,162.1,3.8,60.1
19-Nov,"4,275.00","4,110.10",57.8,164.8,3.9,60.2
19-Dec,"4,280.00","4,110.40",57.9,169.6,4,60.3
20-Jan,"4,280.60","4,104.90",57.8,175.7,4.1,60.3
20-Feb,"4,276.20","4,093.10",57.7,183.1,4.3,60.2
20-Mar,"4,269.80","4,079.00",57.5,190.8,4.5,60.2
20-Apr,"3,720.30","3,248.60",45.6,471.7,12.7,52.2
20-May,"3,937.30","3,093.80",43.5,843.5,21.4,55.4
20-Jun,"4,061.30","3,365.60",47.5,695.7,17.1,57.3
20-Jul,"4,084.60","3,411.80",48.3,672.8,16.5,57.8
20-Aug,"4,047.20","3,448.40",48.9,598.9,14.8,57.4
20-Sep,"4,067.80","3,486.40",49.6,581.5,14.3,57.9
20-Oct,"4,045.40","3,511.30",50.1,534.1,13.2,57.7
20-Nov,"4,059.90","3,535.10",50.6,524.7,12.9,58.1
20-Dec,"4,065.90","3,554.30",51,511.6,12.6,58.3
21-Jan,"4,070.20","3,571.00",51.3,499.2,12.3,58.5
21-Feb,"4,075.20","3,588.70",51.7,486.4,11.9,58.7
21-Mar,"4,076.50","3,611.20",52.2,465.3,11.4,58.9
21-Apr,"4,088.90","3,636.50",52.7,452.4,11.1,59.3
21-May,"4,087.00","3,661.90",53.2,425.1,10.4,59.4
21-Jun,"4,116.20","3,685.50",53.7,430.7,10.5,60
21-Jul,"4,106.60","3,702.90",54.1,403.6,9.8,60
21-Aug,"4,111.50","3,718.10",54.4,393.4,9.6,60.1
21-Sep,"4,091.20","3,731.10",54.6,360.1,8.8,59.9
21-Oct,"4,093.70","3,747.20",54.9,346.6,8.5,60
21-Nov,"4,093.70","3,763.50",55.2,330.2,8.1,60.1
21-Dec,"4,110.20","3,781.40",55.6,328.8,8,60.4
22-Jan,"4,113.70","3,800.40",55.9,313.3,7.6,60.5
22-Feb,"4,104.40","3,820.30",56.3,284.1,6.9,60.4
22-Mar,"4,095.30","3,839.20",56.6,256.1,6.3,60.4
22-Apr,"4,099.60","3,858.80",56.9,240.7,5.9,60.5
22-May,"4,100.90","3,874.40",57.2,226.5,5.5,60.6
22-Jun,"4,099.70","3,885.40",57.5,214.3,5.2,60.6
22-Jul,"4,089.70","3,889.40",57.6,200.2,4.9,60.6
22-Aug,"4,074.00","3,888.40",57.6,185.7,4.6,60.4
22-Sep,"4,086.90","3,885.40",57.7,201.5,4.9,60.6
22-Oct,"4,097.80","3,885.80",57.7,211.9,5.2,60.9
22-Nov,"4,105.70","3,893.50",57.9,212.2,5.2,61
22-Dec,"4,112.60","3,902.60",58.1,209.9,5.1,61.2
23-Jan,"4,125.40","3,907.80",58.2,217.5,5.3,61.4
23-Feb,"4,138.50","3,916.00",58.4,222.5,5.4,61.7
23-Mar,"4,148.40","3,926.50",58.6,221.9,5.3,61.9
23-Apr,"4,156.60","3,933.80",58.8,222.8,5.4,62.1
23-May,"4,171.20","3,949.20",59.1,221.9,5.3,62.4
23-Jun,"4,184.90","3,960.40",59.3,224.5,5.4,62.6
23-Jul,"4,186.20","3,964.90",59.4,221.3,5.3,62.7
23-Aug,"4,180.20","3,960.60",59.4,219.6,5.3,62.7
23-Sep,"4,167.60","3,948.70",59.3,218.9,5.3,62.6
23-Oct,"4,156.40","3,933.80",59.1,222.6,5.4,62.5
